timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2022/08/16 11:28:15.219,132,POST - Login,400,Bad Request,Thread group name 1-1,text,false,,1712,374,1,1,https://www.google.com/,131,0,114
2022/08/16 11:28:31.212,287,POST - Login,200,OK,Thread group name 1-1,text,true,,14984,294,1,1,https://www.google.com/,284,0,105
2022/08/16 11:29:09.714,368,POST - Login,200,OK,Thread group name 1-1,text,true,,14998,294,1,1,https://www.google.com/,366,0,99
2022/08/16 11:30:47.591,393,GET - Homepage,200,OK,Thread group name 1-1,text,true,,582399,590,1,1,https://www.repubblica.it/,184,0,130
2022/08/16 11:30:47.591,184,GET - Homepage-0,301,Moved Permanently,Thread group name 1-1,,true,,516,293,1,1,https://repubblica.it/,184,0,130
2022/08/16 11:30:47.777,207,GET - Homepage-1,200,OK,Thread group name 1-1,text,true,,581883,297,1,1,https://www.repubblica.it/,136,0,102
2022/08/16 11:32:13.708,34495,GET - Homepage,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Thread group name 1-1,text,false,,6421,613,1,1,https://consent.google.com/ml?continue=https://www.google.com/&gl=IT&m=0&pc=shp&uxe=eomtse&hl=it&src=1,512,0,391
2022/08/16 11:32:13.708,512,GET - Homepage-0,301,Moved Permanently,Thread group name 1-1,text,true,,881,290,1,1,https://google.com/,512,0,391
2022/08/16 11:32:14.222,322,GET - Homepage-1,302,Found,Thread group name 1-1,text,true,,1365,323,1,1,https://www.google.com/,322,0,83
2022/08/16 11:32:14.546,33657,GET - Homepage-2,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Thread group name 1-1,text,false,,4175,0,1,1,https://consent.google.com/ml?continue=https://www.google.com/&gl=IT&m=0&pc=shp&uxe=eomtse&hl=it&src=1,0,0,158
2022/08/16 11:33:04.851,10203,GET - Homepage,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Thread group name 1-1,text,false,,6420,613,1,1,https://consent.google.com/ml?continue=https://www.google.com/&gl=IT&m=0&pc=shp&uxe=eomtse&hl=it&src=1,206,0,85
2022/08/16 11:33:04.851,206,GET - Homepage-0,301,Moved Permanently,Thread group name 1-1,text,true,,881,290,1,1,https://google.com/,206,0,85
2022/08/16 11:33:05.058,224,GET - Homepage-1,302,Found,Thread group name 1-1,text,true,,1364,323,1,1,https://www.google.com/,224,0,83
2022/08/16 11:33:05.283,9771,GET - Homepage-2,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Thread group name 1-1,text,false,,4175,0,1,1,https://consent.google.com/ml?continue=https://www.google.com/&gl=IT&m=0&pc=shp&uxe=eomtse&hl=it&src=1,0,0,84
2022/08/16 11:33:28.131,401,GET - Homepage,200,OK,Thread group name 1-1,text,true,,582603,590,1,1,https://www.repubblica.it/,161,0,110
2022/08/16 11:33:28.131,161,GET - Homepage-0,301,Moved Permanently,Thread group name 1-1,,true,,516,293,1,1,https://repubblica.it/,161,0,110
2022/08/16 11:33:28.293,239,GET - Homepage-1,200,OK,Thread group name 1-1,text,true,,582087,297,1,1,https://www.repubblica.it/,149,0,128
2022/08/16 11:33:39.901,292,GET - Homepage,200,OK,Thread group name 1-1,text,true,,582476,590,1,1,https://www.repubblica.it/,113,0,62
2022/08/16 11:33:39.901,113,GET - Homepage-0,301,Moved Permanently,Thread group name 1-1,,true,,516,293,1,1,https://repubblica.it/,113,0,62
2022/08/16 11:33:40.015,178,GET - Homepage-1,200,OK,Thread group name 1-1,text,true,,581960,297,1,1,https://www.repubblica.it/,76,0,55
2022/08/16 11:36:19.285,406,GET - Homepage,200,OK,Thread group name 1-1,text,true,,582389,590,1,1,https://www.repubblica.it/,171,0,117
2022/08/16 11:36:19.285,171,GET - Homepage-0,301,Moved Permanently,Thread group name 1-1,,true,,516,293,1,1,https://repubblica.it/,171,0,117
2022/08/16 11:36:19.457,234,GET - Homepage-1,200,OK,Thread group name 1-1,text,true,,581873,297,1,1,https://www.repubblica.it/,146,0,124
2022/08/16 11:40:42.101,347,GET - Homepage,200,OK,Thread group name 1-1,text,true,,582365,590,1,1,https://www.repubblica.it/,169,0,115
2022/08/16 11:40:42.101,169,GET - Homepage-0,301,Moved Permanently,Thread group name 1-1,,true,,516,293,1,1,https://repubblica.it/,169,0,115
2022/08/16 11:40:42.271,177,GET - Homepage-1,200,OK,Thread group name 1-1,text,true,,581849,297,1,1,https://www.repubblica.it/,102,0,80
2023/02/21 16:10:25.527,383,GET - Homepage,200,,Thread group name 1-1,text,true,,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,244,0,37
2023/02/21 16:10:25.527,246,GET - Homepage-0,302,,Thread group name 1-1,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,244,0,37
2023/02/21 16:10:25.778,132,GET - Homepage-1,200,,Thread group name 1-1,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,132,0,0
2023/02/21 16:11:24.361,340,GET - Homepage,200,,Thread group name 1-1,text,true,,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,214,0,47
2023/02/21 16:11:24.361,214,GET - Homepage-0,302,,Thread group name 1-1,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,214,0,47
2023/02/21 16:11:24.575,126,GET - Homepage-1,200,,Thread group name 1-1,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,126,0,0
2023/02/21 16:11:24.867,319,GET - Homepage,200,,Thread group name 1-2,text,true,,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,208,0,76
2023/02/21 16:11:24.867,208,GET - Homepage-0,302,,Thread group name 1-2,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,208,0,76
2023/02/21 16:11:25.075,111,GET - Homepage-1,200,,Thread group name 1-2,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,111,0,0
2023/02/21 16:11:25.360,304,GET - Homepage,200,,Thread group name 1-3,text,true,,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,197,0,38
2023/02/21 16:11:25.360,197,GET - Homepage-0,302,,Thread group name 1-3,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,197,0,38
2023/02/21 16:11:25.557,107,GET - Homepage-1,200,,Thread group name 1-3,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,107,0,0
2023/02/21 16:11:25.862,329,GET - Homepage,200,,Thread group name 1-4,text,true,,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,211,0,56
2023/02/21 16:11:25.862,211,GET - Homepage-0,302,,Thread group name 1-4,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,211,0,56
2023/02/21 16:11:26.073,118,GET - Homepage-1,200,,Thread group name 1-4,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,118,0,0
